title,author,length
Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 30 mins
Fairy Tale,By: Stephen King,Length: 24 hrs
Court,By: Tracy Wolff,Length: 24 hrs and 22 mins
"Naked, Short and Greedy",By: Susanne Trimbath,Length: 5 hrs and 45 mins
Red-Handed,By: Peter Schweizer,Length: 7 hrs and 48 mins
Dark Horse,By: Gregg Hurwitz,Length: 14 hrs and 30 mins
All Rhodes Lead Here,By: Mariana Zapata,Length: 16 hrs and 29 mins
House of Sky and Breath,By: Sarah J. Maas,Length: Not Yet Known
He Who Fights with Monsters 5,"By: Shirtaloon, Travis Deverell",Length: 20 hrs and 47 mins
Sierra Six,By: Mark Greaney,Length: Not Yet Known
The Great Reset,"By: Glenn Beck, Justin Trask Haskins",Length: 9 hrs and 57 mins
Impact Winter,By: Travis Beacham,Length: Not Yet Known
"The Seventh Realm, Part 2",By: Michael Chatfield,Length: 17 hrs and 19 mins
Godsword,By: Tracy Gregory,Length: 13 hrs and 43 mins
Munro,By: Kresley Cole,Length: 13 hrs and 21 mins
Abandoned in Death,By: J. D. Robb,Length: 13 hrs and 16 mins
Dream Town,By: David Baldacci,Length: 13 hrs
Desperation in Death,By: J. D. Robb,Length: 10 hrs
Life Force,"By: Tony Robbins, Peter H. Diamandis, Robert Hariri",Length: 24 hrs
Amp It Up,By: Frank Slootman,Length: 5 hrs and 35 mins
