title,author,length
Life Force,"By: Tony Robbins, Peter H. Diamandis, Robert Hariri",Length: 22 hrs and 50 mins
The Twice-Dead King: Reign,By: Nate Crowley,Length: 12 hrs and 3 mins
Awaken Online: Happy,By: Travis Bagwell,Length: 25 hrs and 16 mins
Don't Look Back,By: D.K. Hood,Length: 4 hrs and 38 mins
"Overlord, Vol. 3 (Light Novel)","By: Kugane Maruyama, So-bin",Length: 9 hrs and 10 mins
The Awesome Human Project,By: Nataly Kogan,Length: 8 hrs and 6 mins
Heartbreak,By: Florence Williams,Length: 10 hrs and 37 mins
The Damaged,By: Tijan,Length: 8 hrs and 59 mins
Midnight Horizon,By: Daniel José Older,Length: 10 hrs and 5 mins
An Impossible Impostor,By: Deanna Raybourn,Length: 12 hrs and 26 mins
The Investigator,By: John Sandford,Length: 10 hrs and 30 mins
In the Blood,By: Jack Carr,Length: 14 hrs and 30 mins
When Everything's on Fire,By: Brian Zahnd,Length: 6 hrs and 49 mins
Remains,"By: Jason Anspach, Nick Cole",Length: 13 hrs and 20 mins
Homicide and Halo-Halo,By: Mia P. Manansala,Length: 8 hrs and 54 mins
Fortune,"By: Lisa Sharon Harper, Otis Moss - foreword",Length: 10 hrs and 14 mins
The Headmistress,By: Milena McKay,Length: 10 hrs and 25 mins
The Real Anthony Fauci,By: Robert F. Kennedy Jr.,Length: 27 hrs and 20 mins
Terminus,By: D.J. Molles,Length: 13 hrs and 8 mins
How to Prevent the Next Pandemic,By: Bill Gates,Length: 8 hrs
The Summer Proposal,By: Vi Keeland,Length: 8 hrs and 57 mins
When Heroes Fall,By: Giana Darling,Length: 12 hrs and 31 mins
Boondock Pilgrims,By: Franklin Horton,Length: 7 hrs and 23 mins
The Kaiju Preservation Society,By: John Scalzi,Length: Not Yet Known
Deadly American Beauty,By: John Glatt,Length: 8 hrs and 16 mins
How to Be Perfect,By: Michael Schur,Length: 9 hrs and 13 mins
Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 17 mins
South to America,By: Imani Perry,Length: 16 hrs and 32 mins
Anchored,"By: Deb Dana, Stephen Porges PhD - Foreword by",Length: 6 hrs and 22 mins
A Flicker in the Dark,By: Stacy Willingham,Length: 11 hrs and 1 min
Where There's a Witch There's a Way,By: Dakota Cassidy,Length: 6 hrs and 14 mins
The Two Week Curse: A LitRPG Fantasy Series,By: Michael Chatfield,Length: 17 hrs and 7 mins
"Naked, Short and Greedy",By: Susanne Trimbath,Length: 5 hrs and 45 mins
Monster's Mercy: Book 3,By: William D. Arand,Length: 13 hrs and 16 mins
Timber,By: Tate James,Length: 15 hrs and 36 mins
Sickening,By: John Abramson,Length: 9 hrs and 36 mins
The Sandman: Act II,"By: Neil Gaiman, Dirk Maggs",Length: 13 hrs and 47 mins
Hedgewitch,By: Terry Mancour,Length: 20 hrs and 48 mins
One Step Too Far,By: Lisa Gardner,Length: 11 hrs and 48 mins
All About Me!,By: Mel Brooks,Length: 15 hrs and 6 mins
Sparring Partners,By: John Grisham,Length: 10 hrs and 30 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",By: Timothy Ferriss,Length: 13 hrs and 1 min
The Secret,By: Rhonda Byrne,Length: 4 hrs and 24 mins
Back to One,By: Eric Ugland,Length: 9 hrs
Savage Hearts,By: J.T. Geissinger,Length: 10 hrs and 33 mins
The High Mountain Court,By: AK Mulford,Length: 15 hrs and 44 mins
The Choice,By: Nora Roberts,Length: 10 hrs
Muf--ka,By: Reggie Hathorn,Length: 3 hrs and 37 mins
Killing Floor,By: Lee Child,Length: 17 hrs and 47 mins
The Emperor's Finest,By: Sandy Mitchell,Length: 10 hrs and 14 mins
Emma y las otras señoras del narco [Emma and the Other Narco Ladies],By: Anabel Hernandez,Length: 8 hrs and 56 mins
The High 5 Habit,By: Mel Robbins,Length: 6 hrs and 57 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Dragon Magus 1,By: DB King,Length: 12 hrs and 25 mins
Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
To Kill a Mockingbird,By: Harper Lee,Length: 12 hrs and 17 mins
Good to Great,By: Jim Collins,Length: 10 hrs and 1 min
Braiding Sweetgrass,By: Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Violeta,"By: Isabel Allende, Frances Riddle",Length: 11 hrs and 59 mins
Someone Like You,By: Marie Force,Length: 10 hrs and 26 mins
The Alchemist,By: Paulo Coelho,Length: 4 hrs
The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
The Night She Went Missing,By: Kristen Bird,Length: 9 hrs and 35 mins
The Song of Achilles,By: Madeline Miller,Length: 11 hrs and 15 mins
"Joe Ledger: Secret Missions, Volume One and Two",By: Jonathan Maberry,Length: 14 hrs and 2 mins
The Hot Zone (The Complete Series),By: Carly Phillips,Length: 33 hrs and 43 mins
Sledgehammer,By: David Friedman,Length: 8 hrs and 20 mins
Lord January,By: Dakota Krout,Length: 11 hrs and 57 mins
Broken Beast,By: Crystal Kaswell,Length: 10 hrs and 18 mins
Bad Lands,By: Stacey Marie Brown,Length: 12 hrs and 5 mins
Perfect Strangers,By: J.T. Geissinger,Length: 10 hrs and 41 mins
The Rise and Fall of the Third Reich,By: William L. Shirer,Length: 57 hrs and 11 mins
Killing the Killers,"By: Bill O'Reilly, Martin Dugard",Length: 11 hrs and 30 mins
Station Eleven (Television Tie-in),By: Emily St. John Mandel,Length: 10 hrs and 40 mins
You Are More Than You Think You Are,By: Kimberly Snyder,Length: 6 hrs and 39 mins
Endure,By: Cameron Hanes,Length: 10 hrs
The 5 Second Rule,By: Mel Robbins,Length: 7 hrs and 35 mins
When He's Sinful,By: Suzanne Wright,Length: 13 hrs
