date,home_team,score,away_team
14-08-2021,Alaves,1 - 4,Real Madrid
21-08-2021,Alaves,0 - 1,Mallorca
27-08-2021,Valencia,3 - 0,Alaves
18-09-2021,Alaves,0 - 2,Osasuna
22-09-2021,Espanol,1 - 0,Alaves
25-09-2021,Alaves,1 - 0,Ath Madrid
01-10-2021,Ath Bilbao,1 - 0,Alaves
18-10-2021,Alaves,0 - 1,Betis
23-10-2021,Cadiz,0 - 2,Alaves
26-10-2021,Alaves,1 - 0,Elche
30-10-2021,Barcelona,1 - 1,Alaves
06-11-2021,Alaves,2 - 1,Levante
20-11-2021,Sevilla,2 - 2,Alaves
27-11-2021,Alaves,1 - 2,Celta
03-12-2021,Granada,2 - 1,Alaves
11-12-2021,Alaves,1 - 1,Getafe
18-12-2021,Vallecano,2 - 0,Alaves
21-12-2021,Villarreal,5 - 2,Alaves
02-01-2022,Alaves,1 - 1,Sociedad
09-01-2022,Alaves,0 - 0,Ath Bilbao
18-01-2022,Betis,4 - 0,Alaves
23-01-2022,Alaves,0 - 1,Barcelona
05-02-2022,Elche,3 - 1,Alaves
13-02-2022,Alaves,? - ?,Valencia
16-08-2021,Elche,0 - 0,Ath Bilbao
21-08-2021,Ath Bilbao,1 - 1,Barcelona
28-08-2021,Celta,0 - 1,Ath Bilbao
11-09-2021,Ath Bilbao,2 - 0,Mallorca
18-09-2021,Ath Madrid,0 - 0,Ath Bilbao
21-09-2021,Ath Bilbao,1 - 2,Vallecano
25-09-2021,Valencia,1 - 1,Ath Bilbao
01-10-2021,Ath Bilbao,1 - 0,Alaves
23-10-2021,Ath Bilbao,2 - 1,Villarreal
26-10-2021,Espanol,1 - 1,Ath Bilbao
31-10-2021,Sociedad,1 - 1,Ath Bilbao
05-11-2021,Ath Bilbao,0 - 1,Cadiz
19-11-2021,Levante,0 - 0,Ath Bilbao
26-11-2021,Ath Bilbao,2 - 2,Granada
01-12-2021,Real Madrid,1 - 0,Ath Bilbao
06-12-2021,Getafe,0 - 0,Ath Bilbao
11-12-2021,Ath Bilbao,0 - 1,Sevilla
19-12-2021,Ath Bilbao,3 - 2,Betis
22-12-2021,Ath Bilbao,1 - 2,Real Madrid
03-01-2022,Osasuna,1 - 3,Ath Bilbao
09-01-2022,Alaves,0 - 0,Ath Bilbao
23-01-2022,Vallecano,0 - 1,Ath Bilbao
07-02-2022,Ath Bilbao,2 - 1,Espanol
14-02-2022,Mallorca,? - ?,Ath Bilbao
15-08-2021,Celta,1 - 2,Ath Madrid
22-08-2021,Ath Madrid,1 - 0,Elche
29-08-2021,Ath Madrid,2 - 2,Villarreal
12-09-2021,Espanol,1 - 2,Ath Madrid
18-09-2021,Ath Madrid,0 - 0,Ath Bilbao
21-09-2021,Getafe,1 - 2,Ath Madrid
25-09-2021,Alaves,1 - 0,Ath Madrid
02-10-2021,Ath Madrid,2 - 0,Barcelona
24-10-2021,Ath Madrid,2 - 2,Sociedad
28-10-2021,Levante,2 - 2,Ath Madrid
31-10-2021,Ath Madrid,3 - 0,Betis
07-11-2021,Valencia,3 - 3,Ath Madrid
20-11-2021,Ath Madrid,1 - 0,Osasuna
28-11-2021,Cadiz,1 - 4,Ath Madrid
04-12-2021,Ath Madrid,1 - 2,Mallorca
12-12-2021,Real Madrid,2 - 0,Ath Madrid
18-12-2021,Sevilla,2 - 1,Ath Madrid
22-12-2021,Granada,2 - 1,Ath Madrid
02-01-2022,Ath Madrid,2 - 0,Vallecano
09-01-2022,Villarreal,2 - 2,Ath Madrid
22-01-2022,Ath Madrid,3 - 2,Valencia
06-02-2022,Barcelona,4 - 2,Ath Madrid
12-02-2022,Ath Madrid,? - ?,Getafe
